itemname,category,year,itemunit,itemvalue
列管公廁個數/不分男女,連江縣,111,個,237
列管公廁個數/不分男女,金門縣,111,個,673
列管公廁個數/不分男女,嘉義市,111,個,267
列管公廁個數/不分男女,新竹市,111,個,316
列管公廁個數/不分男女,基隆市,111,個,481
列管公廁個數/不分男女,澎湖縣,111,個,155
列管公廁個數/不分男女,花蓮縣,111,個,1150
列管公廁個數/不分男女,臺東縣,111,個,478
列管公廁個數/不分男女,屏東縣,111,個,2073
列管公廁個數/不分男女,嘉義縣,111,個,1192
列管公廁個數/不分男女,雲林縣,111,個,599
列管公廁個數/不分男女,南投縣,111,個,427
列管公廁個數/不分男女,彰化縣,111,個,3397
列管公廁個數/不分男女,苗栗縣,111,個,1276
列管公廁個數/不分男女,新竹縣,111,個,358
列管公廁個數/不分男女,宜蘭縣,111,個,428
列管公廁個數/不分男女,高雄市,111,個,4269
列管公廁個數/不分男女,臺南市,111,個,2487
列管公廁個數/不分男女,臺中市,111,個,2620
列管公廁個數/不分男女,桃園市,111,個,1161
列管公廁個數/不分男女,臺北市,111,個,5246
列管公廁個數/不分男女,新北市,111,個,3918
列管公廁個數/不分男女,總計,111,個,33208
列管公廁個數/女,連江縣,111,個,118
列管公廁個數/女,金門縣,111,個,366
列管公廁個數/女,嘉義市,111,個,1062
列管公廁個數/女,新竹市,111,個,1419
列管公廁個數/女,基隆市,111,個,1208
列管公廁個數/女,澎湖縣,111,個,592
列管公廁個數/女,花蓮縣,111,個,1480
列管公廁個數/女,臺東縣,111,個,916
列管公廁個數/女,屏東縣,111,個,1133
列管公廁個數/女,嘉義縣,111,個,1677
列管公廁個數/女,雲林縣,111,個,1295
列管公廁個數/女,南投縣,111,個,1759
列管公廁個數/女,彰化縣,111,個,1490
列管公廁個數/女,苗栗縣,111,個,1784
列管公廁個數/女,新竹縣,111,個,1986
列管公廁個數/女,宜蘭縣,111,個,1664
列管公廁個數/女,高雄市,111,個,7011
列管公廁個數/女,臺南市,111,個,7950
列管公廁個數/女,臺中市,111,個,10312
列管公廁個數/女,桃園市,111,個,6801
列管公廁個數/女,臺北市,111,個,13170
列管公廁個數/女,新北市,111,個,6868
列管公廁個數/女,總計,111,個,72061
列管公廁個數/男,連江縣,111,個,143
列管公廁個數/男,金門縣,111,個,479
列管公廁個數/男,嘉義市,111,個,1339
列管公廁個數/男,新竹市,111,個,1695
列管公廁個數/男,基隆市,111,個,1724
列管公廁個數/男,澎湖縣,111,個,766
列管公廁個數/男,花蓮縣,111,個,2009
列管公廁個數/男,臺東縣,111,個,1143
列管公廁個數/男,屏東縣,111,個,1685
列管公廁個數/男,嘉義縣,111,個,2846
列管公廁個數/男,雲林縣,111,個,1806
列管公廁個數/男,南投縣,111,個,2545
列管公廁個數/男,彰化縣,111,個,2241
列管公廁個數/男,苗栗縣,111,個,2270
列管公廁個數/男,新竹縣,111,個,2607
列管公廁個數/男,宜蘭縣,111,個,2267
列管公廁個數/男,高雄市,111,個,8844
列管公廁個數/男,臺南市,111,個,11554
列管公廁個數/男,臺中市,111,個,13444
列管公廁個數/男,桃園市,111,個,8607
列管公廁個數/男,臺北市,111,個,15394
列管公廁個數/男,新北市,111,個,9024
列管公廁個數/男,總計,111,個,94432
列管公廁個數/總計,連江縣,111,個,498
列管公廁個數/總計,金門縣,111,個,1518
列管公廁個數/總計,嘉義市,111,個,2668
列管公廁個數/總計,新竹市,111,個,3430
列管公廁個數/總計,基隆市,111,個,3413
列管公廁個數/總計,澎湖縣,111,個,1513
列管公廁個數/總計,花蓮縣,111,個,4639
列管公廁個數/總計,臺東縣,111,個,2537
列管公廁個數/總計,屏東縣,111,個,4891
列管公廁個數/總計,嘉義縣,111,個,5715
列管公廁個數/總計,雲林縣,111,個,3700
列管公廁個數/總計,南投縣,111,個,4731
列管公廁個數/總計,彰化縣,111,個,7128
列管公廁個數/總計,苗栗縣,111,個,5330
列管公廁個數/總計,新竹縣,111,個,4951
列管公廁個數/總計,宜蘭縣,111,個,4359
列管公廁個數/總計,高雄市,111,個,20124
列管公廁個數/總計,臺南市,111,個,21991
列管公廁個數/總計,臺中市,111,個,26376
列管公廁個數/總計,桃園市,111,個,16569
列管公廁個數/總計,臺北市,111,個,33810
列管公廁個數/總計,新北市,111,個,19810
列管公廁個數/總計,總計,111,個,199701
列管公廁個數/不分男女,連江縣,110,個,146
列管公廁個數/不分男女,金門縣,110,個,656
列管公廁個數/不分男女,嘉義市,110,個,269
列管公廁個數/不分男女,新竹市,110,個,311
列管公廁個數/不分男女,基隆市,110,個,477
列管公廁個數/不分男女,澎湖縣,110,個,163
列管公廁個數/不分男女,花蓮縣,110,個,1223
列管公廁個數/不分男女,臺東縣,110,個,373
列管公廁個數/不分男女,屏東縣,110,個,1980
列管公廁個數/不分男女,嘉義縣,110,個,964
列管公廁個數/不分男女,雲林縣,110,個,614
列管公廁個數/不分男女,南投縣,110,個,272
列管公廁個數/不分男女,彰化縣,110,個,5593
